sample_id,response_id,original_event_id,model_name
ER-001,evt_006150_ollama_llama3_1_8b-instruct-q4_0,evt_006150,llama3.1:8b-instruct-q4_0
ER-002,evt_012147_ollama_phi3_mini,evt_012147,phi3:mini
ER-003,evt_012267_ollama_mistral_7b-instruct-v0_3-q4_0,evt_012267,mistral:7b-instruct-v0.3-q4_0
ER-004,evt_001665_ollama_llama3_1_8b-instruct-q4_0,evt_001665,llama3.1:8b-instruct-q4_0
ER-005,evt_011957_ollama_phi3_mini,evt_011957,phi3:mini
ER-006,evt_015549_ollama_phi3_mini,evt_015549,phi3:mini
ER-007,evt_012267_ollama_llama3_1_8b-instruct-q4_0,evt_012267,llama3.1:8b-instruct-q4_0
ER-008,evt_013387_ollama_mistral_7b-instruct-v0_3-q4_0,evt_013387,mistral:7b-instruct-v0.3-q4_0
ER-009,evt_013797_ollama_phi3_mini,evt_013797,phi3:mini
ER-010,evt_003618_ollama_mistral_7b-instruct-v0_3-q4_0,evt_003618,mistral:7b-instruct-v0.3-q4_0
ER-011,evt_008377_ollama_phi3_mini,evt_008377,phi3:mini
ER-012,evt_005928_ollama_llama3_1_8b-instruct-q4_0,evt_005928,llama3.1:8b-instruct-q4_0
ER-013,evt_012733_ollama_mistral_7b-instruct-v0_3-q4_0,evt_012733,mistral:7b-instruct-v0.3-q4_0
ER-014,evt_007668_ollama_mistral_7b-instruct-v0_3-q4_0,evt_007668,mistral:7b-instruct-v0.3-q4_0
ER-015,evt_004681_ollama_mistral_7b-instruct-v0_3-q4_0,evt_004681,mistral:7b-instruct-v0.3-q4_0
ER-016,evt_007828_ollama_mistral_7b-instruct-v0_3-q4_0,evt_007828,mistral:7b-instruct-v0.3-q4_0
ER-017,evt_002974_ollama_phi3_mini,evt_002974,phi3:mini
ER-018,evt_000367_ollama_phi3_mini,evt_000367,phi3:mini
ER-019,evt_003293_ollama_llama3_1_8b-instruct-q4_0,evt_003293,llama3.1:8b-instruct-q4_0
ER-020,evt_019765_ollama_llama3_1_8b-instruct-q4_0,evt_019765,llama3.1:8b-instruct-q4_0
ER-021,evt_007975_ollama_phi3_mini,evt_007975,phi3:mini
ER-022,evt_013797_ollama_llama3_1_8b-instruct-q4_0,evt_013797,llama3.1:8b-instruct-q4_0
ER-023,evt_005964_ollama_mistral_7b-instruct-v0_3-q4_0,evt_005964,mistral:7b-instruct-v0.3-q4_0
ER-024,evt_006981_ollama_phi3_mini,evt_006981,phi3:mini
ER-025,evt_007343_ollama_mistral_7b-instruct-v0_3-q4_0,evt_007343,mistral:7b-instruct-v0.3-q4_0
ER-026,evt_016760_ollama_llama3_1_8b-instruct-q4_0,evt_016760,llama3.1:8b-instruct-q4_0
ER-027,evt_014424_ollama_llama3_1_8b-instruct-q4_0,evt_014424,llama3.1:8b-instruct-q4_0
ER-028,evt_010032_ollama_mistral_7b-instruct-v0_3-q4_0,evt_010032,mistral:7b-instruct-v0.3-q4_0
ER-029,evt_017414_ollama_llama3_1_8b-instruct-q4_0,evt_017414,llama3.1:8b-instruct-q4_0
ER-030,evt_004683_ollama_mistral_7b-instruct-v0_3-q4_0,evt_004683,mistral:7b-instruct-v0.3-q4_0
ER-031,evt_017606_ollama_mistral_7b-instruct-v0_3-q4_0,evt_017606,mistral:7b-instruct-v0.3-q4_0
ER-032,evt_004198_ollama_phi3_mini,evt_004198,phi3:mini
ER-033,evt_005862_ollama_llama3_1_8b-instruct-q4_0,evt_005862,llama3.1:8b-instruct-q4_0
ER-034,evt_012433_ollama_mistral_7b-instruct-v0_3-q4_0,evt_012433,mistral:7b-instruct-v0.3-q4_0
ER-035,evt_010832_ollama_llama3_1_8b-instruct-q4_0,evt_010832,llama3.1:8b-instruct-q4_0
ER-036,evt_012500_ollama_phi3_mini,evt_012500,phi3:mini
ER-037,evt_001456_ollama_llama3_1_8b-instruct-q4_0,evt_001456,llama3.1:8b-instruct-q4_0
ER-038,evt_007975_ollama_llama3_1_8b-instruct-q4_0,evt_007975,llama3.1:8b-instruct-q4_0
ER-039,evt_019686_ollama_llama3_1_8b-instruct-q4_0,evt_019686,llama3.1:8b-instruct-q4_0
ER-040,evt_019266_ollama_phi3_mini,evt_019266,phi3:mini
ER-041,evt_011073_ollama_phi3_mini,evt_011073,phi3:mini
ER-042,evt_017303_ollama_llama3_1_8b-instruct-q4_0,evt_017303,llama3.1:8b-instruct-q4_0
ER-043,evt_015637_ollama_mistral_7b-instruct-v0_3-q4_0,evt_015637,mistral:7b-instruct-v0.3-q4_0
ER-044,evt_005652_ollama_mistral_7b-instruct-v0_3-q4_0,evt_005652,mistral:7b-instruct-v0.3-q4_0
ER-045,evt_015283_ollama_mistral_7b-instruct-v0_3-q4_0,evt_015283,mistral:7b-instruct-v0.3-q4_0
ER-046,evt_019780_ollama_phi3_mini,evt_019780,phi3:mini
ER-047,evt_013387_ollama_phi3_mini,evt_013387,phi3:mini
ER-048,evt_001869_ollama_llama3_1_8b-instruct-q4_0,evt_001869,llama3.1:8b-instruct-q4_0
ER-049,evt_010346_ollama_mistral_7b-instruct-v0_3-q4_0,evt_010346,mistral:7b-instruct-v0.3-q4_0
ER-050,evt_003618_ollama_phi3_mini,evt_003618,phi3:mini
