sample_id,formal_bound_summary,ai_explanation,expert_violation_class,expert_severity,expert_confidence_1to5,expert_notes
ER-001,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is client_to_server.
- The observed frame type is s_or_u_format_control.
- Source identifier 1 communicated with destination identifier 204.
- The observed source port is 47192 and the observed destination port is 2404.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is IEC104_CONTROL_FRAME_OBSERVATION.
- The observation pattern is iec104_control_frame_pattern.","Here is a precise operational English explanation of the formally bounded IEC-104 network observation:

On June 15, 2022, at 23:40:06 UTC (timestamp ms: 1654646406010), an atomic-row event was observed in the eon_iec dataset. The observed protocol hint is iec104, and the communication direction is client_to_server. The source identifier 1 communicated with destination identifier 204 using ports srcport 47192 and dstport 2404. The packet size is 46 bytes, and the packet length field is 4. The ASDU address is 0, COT is 0, and ASDU item count is 0. The observed frame type is s_or_u_format_control, and the observation pattern is iec104_control_frame_pattern. The current formal class is IEC104_CONTROL_FRAME_OBSERVATION, which is a proxy observation label and not a confirmed attack label.",,,,
ER-002,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is unknown.
- The observed communication direction is unknown.
- The observed frame type is u_format_control.
- Source identifier 780 communicated with destination identifier 38.
- The observed source port is 2405 and the observed destination port is 51473.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is UNKNOWN_NON_IEC104.
- The observation pattern is unknown_or_non_iec104_pattern.","The observation labeled as evt_012147 within the eon_iec dataset at atomic granularity, timestamped precisely at 1654646410745 according to Formal Bound version 2.1 and using a schema that is not yet officially ground-truth for attack labeling (proxy_until_official_automaton_schema), presents an anomaly in the network traffic pattern of our industrial control system's IEC-104 communication protocol, which remains unidentified due to its unknown nature. Source identifier 780 has transmitted a packet size of 46 bytes via source port 2405 and destination port 51473 with an ASDU address set at zero across all fields (address, COT count, item quantity), while the frame format is u_format_control. The formal class assigned to this event as UNKNOWN_NON_IEC104 indicates that it does not conform to recognized IEC-104 patterns and cannot be immediately labeled with a confirmed attack type based on current schema status, thus remaining at the proxy observation stage without further ground truth validation.",,,,
ER-003,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is unknown.
- The observed communication direction is unknown.
- The observed frame type is s_or_u_format_control.
- Source identifier 38 communicated with destination identifier 783.
- The observed source port is 51742 and the observed destination port is 2405.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is UNKNOWN_NON_IEC104.
- The observation pattern is unknown_or_non_iec104_pattern.","In the IEC-104 network event with ID 'evt_012267' and timestamp 1654646410866, an unidentified protocol was used in a communication between source identifier 38 and destination identifier 783. The observed packet size was 46 bytes, with a packet length field of 4, and the source port was 51742 while the destination port was 2405. However, the communication direction remains unknown.

The frame type observed was s_or_u_format_control, but the specific format (either S or U) could not be determined due to the unknown protocol hint. The ASDU fields in this event included an address of 0, a COT value of 0, and no items. The formal class assigned to this event is UNKNOWN_NON_IEC104, which indicates that it does not conform to the expected IEC-104 communication pattern (unknown_or_non_iec104_pattern). It's important to note that this formal class is a proxy observation label and should not be interpreted as a confirmed attack label.

Without additional context or evidence, no security conclusions can be confidently drawn from this event. Further investigation may be required to determine the nature of this communication and its potential impact on the industrial control system network.",,,,
ER-004,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 226 communicated with destination identifier 1.
- The observed source port is 2404 and the observed destination port is 57928.
- The observed packet size is 79 bytes and the packet length field is 25.
- The observed ASDU address is 13.
- The observed ASDU type is 36, COT is 3, and ASDU item count is 1.
- The proxy formal class is IEC104_BASELINE_MEASUREMENT_OBSERVATION.
- The observation pattern is dominant_iec104_measurement_pattern.","Here is a precise operational English explanation of the formally bounded IEC-104 network observation:

On timestamp 1654646404817, source identifier 226 communicated with destination identifier 1 over an iec104 protocol hint in server_to_client direction. The observed frame type was i_format_information_transfer and the dominant observation pattern was dominant_iec104_measurement_pattern. The proxy formal class for this event is IEC104_BASELINE_MEASUREMENT_OBSERVATION, which should be treated as a label indicating the presence of an IEC-104 measurement transfer, rather than a confirmed attack label. The observed features include source port 2404 and destination port 57928, packet size 79 bytes and length field 25, ASDU address 13, type 36, COT 3, and item count 1.",,,,
ER-005,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is unknown.
- The observed communication direction is unknown.
- The observed frame type is u_format_control.
- Source identifier 777 communicated with destination identifier 38.
- The observed source port is 2405 and the observed destination port is 51395.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is UNKNOWN_NON_IEC104.
- The observation pattern is unknown_or_non_iec104_pattern.","The network observation labeled as evt_011957 within eon_iec dataset, at granularity atomic_row and timestamped precisely to ms 1654646410380 under Formal Bound version 2.1 with a proxy schema status of 'proxy_until_official_automaton_schema', presents an intriguing case for analysis due to its unknown protocol hint, communication direction, and observation pattern classified as UNKNOWN_NON_IEC104 by the formal system in use. The data exchange occurred between source identifier 777 and destination identifier 38 over a byte size of 46 bytes with packet length field set to 4; this was facilitated through ports 2405 (source) and 51395 (destination). Notably, the observed ASDU fields indicate an absence in addressing, coterminous elements, type specification, as well as item count. As such, while these details are recorded within our formal system's constraints without implying malicious intent or causality beyond this single timestamped event, it is important to recognize that current classifications remain at the proxy observation level and do not confirm any specific security threat conclusions based on available data alone.",,,,
ER-006,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is client_to_server.
- The observed frame type is s_or_u_format_control.
- Source identifier 283 communicated with destination identifier 282.
- The observed source port is 49192 and the observed destination port is 2404.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is IEC104_CONTROL_FRAME_OBSERVATION.
- The observation pattern is iec104_control_frame_pattern.","The IEC104 control frame pattern was observed within a client_to_server communication direction, where source identifier 283 sent data to destination identifier 282 using protocol hint iec104 at timestamp ms: 1654646411882. The packet size recorded is 46 bytes with the length field set as 4 and transmitted over ports 49192 (source) to 2404 (destination). This event falls under the IEC104_CONTROL_FRAME_OBSERVATION formal class, which serves as a proxy observation label. The ASDU address is noted at zero with no items or COT value present in this atomic row of data from eon_iec dataset using schema status: proxy_until_official_automaton_schema version 2.1. As the IEC104 protocol hint and observed packet details align, it's important to note that while these observations are consistent with expected network behavior for an industrial control system utilizing IEC-104 communication standards, they do not confirm any malicious activity or security breach without further investigation into ground truth attack labels.",,,,
ER-007,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is unknown.
- The observed communication direction is unknown.
- The observed frame type is s_or_u_format_control.
- Source identifier 38 communicated with destination identifier 783.
- The observed source port is 51742 and the observed destination port is 2405.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is UNKNOWN_NON_IEC104.
- The observation pattern is unknown_or_non_iec104_pattern.","Here is the explanation:

On timestamp 1654646410866 ms, source identifier 38 communicated with destination identifier 783 over an unknown protocol hint and communication direction. The observed frame type was s_or_u_format_control. The packet size was 46 bytes, with a packet length field of 4. The source port was 51742 and the destination port was 2405. The ASDU address, COT, and item count were all 0. The proxy formal class for this observation is UNKNOWN_NON_IEC104, indicating that the observed pattern does not conform to IEC-104 protocol standards. This classification is a proxy label and not a confirmed attack label.",,,,
ER-008,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 188 communicated with destination identifier 10.
- The observed source port is 2404 and the observed destination port is 46402.
- The observed packet size is 67 bytes and the packet length field is 25.
- The observed ASDU address is 304.
- The observed ASDU type is 36, COT is 3, and ASDU item count is 1.
- The proxy formal class is IEC104_BASELINE_MEASUREMENT_OBSERVATION.
- The observation pattern is dominant_iec104_measurement_pattern.","At timestamp 1654646411302, an IEC-104 network event (evt_013387) occurred within the eon_iec dataset. The observed communication was from server to client, with source identifier 188 and destination identifier 10. The source port was 2404, and the destination port was 46402. The packet size was 67 bytes, and the packet length field was 25.

The frame type was i_format_information_transfer, and the observed ASDU fields were as follows: ASDU address 304, COT 3, and ASDU item count 1. The ASDU type was 36. This event conforms to the dominant_iec104_measurement_pattern and is labeled as a proxy IEC104_BASELINE_MEASUREMENT_OBSERVATION. However, it's important to note that this formal class does not confirm an attack label. The protocol hint indicates that the observed event was an IEC-104 communication, but no further conclusions about the nature or intent of the traffic can be drawn from the provided information.",,,,
ER-009,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is unknown.
- The observed communication direction is unknown.
- The observed frame type is u_format_control.
- Source identifier 38 communicated with destination identifier 831.
- The observed source port is 51790 and the observed destination port is 2405.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is UNKNOWN_NON_IEC104.
- The observation pattern is unknown_or_non_iec104_pattern.","The formally bounded network observation identified by Event ID evt_013797 within eon_iec dataset at granularity atomic_row and timestamped as 1654646411413, indicates a communication event where source identifier 38 engaged with destination identifier 831. The packet size observed was consistent with the u_format_control frame type across an unspecified protocol hint within unknown directionality of traffic flow between these entities. Notably, this formal class label as UNKNOWN_NON_IEC104 suggests that while it is recognized through proxy mechanisms and aligns partially to IEC-104 format control frames due to the frame type observed, its full classification remains unverified against ground truth attack labels. The packet length field was 4 bytes long with a total payload of 46 bytes transmitted over source port 51790 towards destination port 2405; all ASDU fields were reported as zero for address, cot, and item count respectively while the type remained undetermined at this granularity. Given that no confirmed malicious intent or causality is established within these bounds, it remains a proxy observation pending further analysis to confirm normalcy or potential security implications of such network activity patterns in an industrial control system context.",,,,
ER-010,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is unknown.
- The observed communication direction is unknown.
- The observed frame type is u_format_control.
- Source identifier 583 communicated with destination identifier 38.
- The observed source port is 2405 and the observed destination port is 51845.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is UNKNOWN_NON_IEC104.
- The observation pattern is unknown_or_non_iec104_pattern.","At timestamp 1654646405355, an event identified as evt_003618 occurred within the eon_iec dataset. The observed communication involved source identifier 583 and destination identifier 38, using ports 2405 (source) and 51845 (destination). The packet size was 46 bytes, with a packet length field of 4. However, the protocol hint is unknown, as well as the communication direction.

The frame type observed was u_format_control, and the ASDU fields indicate that no ASDU was transmitted (ASDU address: 0, ASDU type: 0, COT: 0, ASDU item count: 0). The formal class of this event is UNKNOWN_NON_IEC104, which is a proxy observation label and not a confirmed attack label. The observation pattern is unknown_or_non_iec104_pattern, indicating that the observed communication may not conform to standard IEC-104 patterns.

It is important to note that the current formal class does not confirm any security conclusion regarding this event. Further investigation and analysis are required to determine if this event represents normal or abnormal behavior within the system.",,,,
